Date,World Equities,US Treasuries,Bond Risk Premium,Inflation Protection,Currency Protection,US Equities,Real Estate,Commodities,Corp Bonds
3/1/1989,-0.018123,0.009786,-0.017587,0.005241,0.008199,0.032123,-0.000274,0.057366,0.005123
4/1/1989,0.009946,0.022175,-0.017973,-0.036155,0.024571,0.043302,0.016731,0.048986,0.021659
5/1/1989,-0.052117,0.039262,-0.019863,0.01023,0.024168,0.045396,0.023771,-0.023663,0.042002
6/1/1989,-0.014679,0.058009,-0.04561,-0.038493,-0.009607,-0.007444,0.008725,0.032658,0.038325
7/1/1989,0.123472,0.022875,-0.024173,-0.027365,0.013357,0.07125,0.023781,-0.033742,0.03175
8/1/1989,-0.042253,-0.02633,0.02973,-0.008268,0.016852,0.032672,0.00098,0.040655,-0.015453
9/1/1989,0.043313,0.003157,-0.019957,-0.012176,-0.00691,-0.00226,-0.011828,0.059497,0.001071
10/1/1989,-0.038112,0.040918,-0.064618,0.00204,0.006406,-0.030578,-0.041319,0.005727,0.031707
11/1/1989,0.04918,0.00834,-0.010339,0.004207,0.003107,0.024533,-0.01354,0.015049,0.008736
12/1/1989,0.036733,-0.001838,0.003438,-0.002207,0.007533,0.007982,-0.011379,0.08277,-0.000362
1/1/1990,-0.03838,-0.035083,0.013579,0.051219,0.014097,-0.072398,-0.022299,-0.005709,-0.013901
2/1/1990,-0.067558,-0.005122,-0.015475,0.006133,0.02575,0.018293,-0.034297,-0.017386,-0.002196
3/1/1990,-0.099312,-0.001615,0.027813,0.009048,0.006024,0.016766,0.001661,0.033061,0.00501
4/1/1990,-0.011043,-0.02356,0.021859,-0.022093,-0.005887,-0.020024,-0.015353,-0.008433,-0.013603
5/1/1990,0.112225,0.044219,-0.024918,0.007338,0.003603,0.092548,-0.000319,-0.021393,0.053778
6/1/1990,-0.008631,0.023107,0.001095,0.005243,-0.015491,-0.006601,0.007628,-0.01085,0.010339
7/1/1990,0.014764,0.010178,0.016721,0.008549,-0.014924,-0.015504,-0.017987,0.094352,0.019161
8/1/1990,-0.094435,-0.04246,-0.014439,0.045341,-0.007139,-0.092238,-0.06107,0.150793,-0.024782
9/1/1990,-0.134732,0.012777,-0.085778,0.034766,-0.016493,-0.02974,-0.069307,0.185198,0.013193
10/1/1990,0.146651,0.023599,-0.076099,0.007901,0.001829,-0.030651,-0.035022,-0.022631,0.004576
11/1/1990,-0.055239,0.040116,-0.008915,-0.01113,0.017587,0.067194,0.06369,-0.083754,0.019826
12/1/1990,0.017532,0.020353,-0.014754,-0.00031,0.005381,0.023457,0.000385,-0.003184,0.017807
1/1/1991,0.030861,0.011704,0.015799,-0.010295,-0.005252,0.049457,0.087627,-0.099607,0.025059
2/1/1991,0.105555,0.002161,0.107237,-0.014219,0.037933,0.086207,0.049184,0.026383,0.005227
3/1/1991,-0.057533,0.004043,0.054854,0.011089,0.015971,0.013757,0.076228,0.025616,0.021892
4/1/1991,0.010216,0.01445,0.026554,-0.001103,0.007086,0.022965,0.023763,0.037075,0.018602
5/1/1991,0.012296,-0.001323,0.003124,0.019855,0.01566,0.026531,0.023599,-0.007,0.006875
6/1/1991,-0.07068,-0.005961,0.035557,0.006645,0.00196,-0.027833,-0.025924,-0.0214,-0.000552
